time,hex,callsign,latitude,longitude,no_position,altitude,squawk,speed,track
2021-01-09 07:27:40Z.844,0x8a030b,SJY182,-6.11408,106.66879,P,0,3327,3,67
2021-01-09 07:27:42Z.426,0x8a030b,SJY182,-6.11408,106.66879,P,0,3327,3,67
2021-01-09 07:27:43Z.504,0x8a030b,SJY182,-6.11149,106.66759,P,0,3327,1,64
2021-01-09 07:27:44Z.526,0x8a030b,SJY182,-6.11149,106.66759,P,0,3327,1,70
2021-01-09 07:27:45Z.888,0x8a030b,SJY182,-6.11149,106.66761,P,0,3327,1,64
2021-01-09 07:27:47Z.292,0x8a030b,SJY182,0,0,P,0,3327,1,70
2021-01-09 07:27:47Z.922,0x8a030b,SJY182,-6.11149,106.66762,P,0,3327,2,64
2021-01-09 07:27:48Z.876,0x8a030b,SJY182,-6.11148,106.66763,P,0,3327,2,67
2021-01-09 07:27:49Z.424,0x8a030b,SJY182,-6.11148,106.66763,P,0,3327,2,67
2021-01-09 07:27:50Z.476,0x8a030b,SJY182,-6.11147,106.66765,P,0,3327,3,67
2021-01-09 07:27:52Z.602,0x8a030b,SJY182,-6.11146,106.66767,P,0,3327,3,67
2021-01-09 07:27:54Z.528,0x8a030b,SJY182,-6.11145,106.66769,P,0,3327,3,67
2021-01-09 07:27:55Z.572,0x8a030b,SJY182,-6.11145,106.66772,P,0,3327,4,67
2021-01-09 07:27:58Z.190,0x8a030b,SJY182,-6.11143,106.66774,P,0,3327,4,67
2021-01-09 07:27:58Z.716,0x8a030b,SJY182,-6.11142,106.66776,P,0,3327,4,70
2021-01-09 07:28:00Z.678,0x8a030b,SJY182,-6.11141,106.6678,P,0,3327,5,70
2021-01-09 07:28:03Z.886,0x8a030b,SJY182,0,0,P,0,3327,5,70
2021-01-09 07:28:07Z.716,0x8a030b,SJY182,-6.11135,106.66795,P,0,3327,6,67
2021-01-09 07:28:09Z.932,0x8a030b,SJY182,-6.11133,106.66799,P,0,3327,6,70
2021-01-09 07:28:10Z.448,0x8a030b,SJY182,-6.11132,106.66802,P,0,3327,7,67
2021-01-09 07:28:12Z.300,0x8a030b,SJY182,-6.11131,106.66806,P,0,3327,7,70
2021-01-09 07:28:13Z.860,0x8a030b,SJY182,0,0,P,0,3327,7,70
2021-01-09 07:28:14Z.832,0x8a030b,SJY182,-6.11127,106.66815,P,0,3327,7,67
2021-01-09 07:28:17Z.038,0x8a030b,SJY182,0,0,P,0,3327,8,67
2021-01-09 07:28:18Z.282,0x8a030b,SJY182,-6.11123,106.66826,P,0,3327,7,67
2021-01-09 07:28:19Z.234,0x8a030b,SJY182,-6.11121,106.66828,P,0,3327,7,67
2021-01-09 07:28:21Z.652,0x8a030b,SJY182,0,0,P,0,3327,7,67
2021-01-09 07:28:25Z.648,0x8a030b,SJY182,0,0,P,0,3327,7,67
2021-01-09 07:28:26Z.206,0x8a030b,SJY182,0,0,P,0,3327,7,67
2021-01-09 07:28:31Z.974,0x8a030b,SJY182,0,0,P,0,3327,5,70
2021-01-09 07:28:33Z.958,0x8a030b,SJY182,-6.11108,106.66865,P,0,3327,3,67
2021-01-09 07:28:37Z.874,0x8a030b,SJY182,0,0,P,0,3327,1,61
